FID,IZ11CD,IZ11NM
438,S02001723,Braes Villages
439,S02001724,Reddingmuirhead and Overton
440,S02001725,Brightons and Wallacestone
441,S02001726,Maddiston and Rumford
442,S02001727,Polmont
443,S02001728,Redding
444,S02001729,Laurieston and Westquarter
445,S02001730,Grangemouth - Newlands
446,S02001886,Cathcart
447,S02001731,Grangemouth - Town Centre
448,S02001732,Grangemouth - Kersiebank
449,S02001733,Grangemouth - Bowhouse
450,S02001734,Bo'ness - Douglas
451,S02001887,Mount Florida
452,S02001735,Bo'ness - Newtown
453,S02001636,Craigentinny
454,S02001888,Toryglen and Oatlands
455,S02001637,Restalrig (Loganlea) and Craigentinny West
456,S02001836,St Andrews South West
457,S02001889,Gorbals and Hutchesontown
458,S02001638,Restalrig and Lochend
459,S02001837,St Andrews North and Strathkinness
460,S02001890,Laurieston and Tradeston
461,S02001639,Leith (Hermitage and Prospect Bank)
462,S02001838,Leuchars and Guardbridge
463,S02001891,Calton and Gallowgate
464,S02001640,Western Harbour and Leith Docks
465,S02001839,Balmullo and Gauldry
466,S02001892,Bridgeton
467,S02001641,North Leith and Newhaven
468,S02001840,Tayport
469,S02001893,Dalmarnock
470,S02001642,The Shore and Constitution Street
471,S02001841,Newport and Wormit
472,S02001894,Parkhead West and Barrowfield
473,S02001643,Great Junction Street
474,S02001842,Darnley East
475,S02001895,Parkhead East and Braidfauld North
476,S02001644,South Leith
477,S02001843,Darnley North
478,S02001896,Braidfauld
479,S02001645,Easter Road and Hawkhill Avenue
480,S02001844,Darnley West
481,S02001897,Shettleston South
482,S02001898,Carmyle and Mount Vernon South
483,S02001899,Mount Vernon North and Sandyhills
484,S02001900,Baillieston West
485,S02001901,Baillieston East
486,S02001902,Garrowhill West
487,S02001903,Garrowhill East and Swinton
488,S02001904,Easterhouse East
489,S02001905,Central Easterhouse
490,S02001906,"Garthamlock, Auchinlea and Gartloch"
491,S02001907,North Barlanark and Easterhouse South
492,S02001908,Barlanark
493,S02001909,Greenfield
494,S02001910,Shettleston North
495,S02001911,Tollcross
496,S02001912,Old Shettleston and Parkhead North
497,S02001913,Carntyne
498,S02001914,"Cranhill, Lightburn and Queenslie South"
499,S02001915,Craigend and Ruchazie
500,S02001916,Riddrie and Hogganfield
501,S02001917,Blackhill and Barmulloch East
502,S02001918,Robroyston and Millerston
503,S02001919,Balornock
504,S02001920,Barmulloch
505,S02001921,Petershill
506,S02001922,Springburn
507,S02001923,Springburn East and Cowlairs
508,S02001924,Cowlairs and Port Dundas
509,S02001925,Sighthill
510,S02001926,"Roystonhill, Blochairn, and Provanmill"
511,S02001927,Dennistoun North
512,S02001928,Alexandra Parade
513,S02001929,Carntyne West and Haghill
514,S02001930,Dennistoun
515,S02001931,Gallowgate North and Bellgrove
516,S02001932,City Centre East
517,S02001933,City Centre West
518,S02001934,City Centre South
519,S02001935,Anderston
520,S02001845,Nitshill
521,S02001646,Leith (Albert Street)
522,S02001846,Crookston South
523,S02001647,Hillside and Calton Hill
524,S02001847,Crookston North
525,S02001648,Pilrig
526,S02001848,Pollok South and West
527,S02001649,Bonnington
528,S02001849,Pollok North and East
529,S02001650,Trinity East and The Dudleys
530,S02001850,Cardonald South and East
531,S02001651,Trinity
532,S02001851,Cardonald North
533,S02001652,"Inverleith, Goldenacre and Warriston"
534,S02001852,Cardonald West and Central
535,S02001653,Broughton North and Powderhall
536,S02001853,Penilee
537,S02001654,Broughton South
538,S02001854,Hillington
539,S02001655,New Town East and Gayfield
540,S02001936,Finnieston and Kelvinhaugh
541,S02001855,Drumoyne and Shieldhall
542,S02001656,New Town West
543,S02001937,Woodlands
544,S02001856,Govan and Linthouse
545,S02001657,Canonmills and New Town North
546,S02001938,Woodside
547,S02001857,Craigton
548,S02001658,Stockbridge
549,S02001939,Firhill
550,S02001858,Mosspark
551,S02001659,Comely Bank
552,S02001940,Keppochhill
553,S02001859,Ibrox
554,S02001660,Deans Village
555,S02001941,Ruchill
556,S02001860,Ibrox East and Cessnock
557,S02001661,Balgreen and Roseburn
558,S02001942,Possil Park
559,S02001861,Kinning Park and Festival Park
560,S02001662,Murrayfield and Ravelston
561,S02001943,Milton West
562,S02001862,Kingston West and Dumbreck
563,S02001663,"Craigleith, Orchard Brae and Crewe Toll"
564,S02001944,Milton East
565,S02001863,Pollokshields West
566,S02001664,Blackhall
567,S02001945,Summerston Central and West
568,S02001864,Pollokshields East
569,S02001665,Drylaw
570,S02001946,Summerston North
571,S02001865,Govanhill West
572,S02001666,West Pilton
573,S02001947,Maryhill East
574,S02001948,Maryhill West
575,S02001949,Wyndford
576,S02001950,Kelvindale
577,S02001951,North Kelvin
578,S02001952,Kelvingrove and University
579,S02001953,Hillhead
580,S02001954,Glasgow Harbour and Partick South
581,S02001955,Partick
582,S02001956,Partickhill and Hyndland
583,S02001957,Dowanhill
584,S02001958,Kelvinside and Jordanhill
585,S02001959,Broomhill
586,S02001960,Victoria Park
587,S02001961,Whiteinch
588,S02001962,Scotstoun North and East
589,S02001963,Scotstoun South and West
590,S02001964,Yoker South
591,S02001965,Yoker North
592,S02001966,Knightswood West
593,S02001967,Knightswood East
594,S02001968,Knightswood Park West
595,S02001969,Knightswood Park East
596,S02001970,Anniesland East
597,S02001971,Anniesland West
598,S02001972,Blairdardie East
599,S02001973,Blairdardie West
600,S02001974,Drumchapel South
