"","X","Y","",""
"231",411450.1878363,277836.983475909,-94750.8191257745,-83624.7979394007
"232",404793.667851501,261312.852198158,-27715.9818487501,-70306.5962217163
"233",397672.281506594,348802.374136293,-81312.7788481525,-68748.502101048
"234",426024.227634108,326286.271459941,11307.2447512599,-38493.6197413009
"235",479472.920833041,336628.761831577,5077.04819606204,-43815.9033669841
"236",546067.134888835,250767.187385072,53748.3614682457,48702.2545066409
"237",614164.993802165,274870.075193799,72666.8908662108,141495.371660039
"238",496988.290606364,163053.237864655,60164.7001833825,27988.0974923283
"239",535317.25106567,273533.312618676,31294.6289108387,-14514.1364596824
"240",522738.385221769,271363.36640928,21370.8139243809,-89748.8229709216
"241",509447.801833965,238456.164568641,2134.15851741236,-48851.9260128139
"242",484340.233939512,391096.755038763,50004.1415192318,95589.5907763409
"243",472235.871118316,327723.856927402,-24632.1002305738,-122146.30297386
"244",489728.916508982,342956.219299128,3770.32243669587,58573.8632957494
"245",421234.493266403,338731.548397446,17840.0734905561,-89602.8722951167
"246",444909.735262916,317644.54416641,29236.1267871786,-71347.8982169123
"247",501972.521259143,335279.942464096,-65449.9756932968,-38371.993987396
"248",386836.456386799,437810.941309793,9877.7465526171,-7021.65947386567
"249",349561.152258996,386314.757513312,34249.6098955423,63729.7263389124
"250",436610.366399408,368364.671333707,-33217.0041947226,-127156.481405347
"251",534571.302331185,322921.13655303,47205.834764805,78692.5027894773
"252",435301.12800236,319819.967943025,-29646.3157812975,-95847.9901000224
"253",461735.048667398,294275.839985026,9879.03529261294,-3920.71056386345
"254",450547.861906616,317995.76073794,-2362.58624631335,-88875.3762310433
"255",435939.898232084,321474.643205716,27042.739311342,-66705.0556163883
"256",474565.603851889,327557.840431718,-33329.0759856415,-101009.155810749
"257",438419.316029519,304482.782423692,-30325.1759889527,-88633.9601551553
"258",339654.114916292,361586.585533392,-81653.8475131279,-11156.8415616264
"259",444201.990075471,399313.740367566,-77017.2495330932,-99865.3010789116
"260",458179.588144724,338205.519304727,-23023.2408653193,-121711.019710188
"261",443221.143034169,330734.308614764,-18344.6991111081,-78065.9675563598
"262",395181.574493737,305545.971832788,-30716.8925804478,-21619.770349642
"263",262752.953018608,351032.629244143,12731.2350081627,-29647.7800836982
"264",420106.467995587,310119.067348689,-34880.5163486707,-136822.055495399
"265",440403.991553392,308333.973853329,-6302.94831087456,-87547.190824009
"266",439461.467295655,304235.279996958,-57153.5951868937,-37042.9207471278
"267",399229.623495198,286310.488724385,13787.8200940225,-82003.1460441972
"268",455733.512895524,334793.998773021,-16339.3214428456,-127519.514125781
"269",463285.330328604,304633.828933274,69154.9504489816,49337.4255373183
"270",560100.14286881,337164.447895577,31314.5655870735,377760.993436621
"271",472396.026861072,353878.933138159,45080.2258471312,-31317.8711232616
"272",479884.981447642,347772.831864877,-22993.0617506467,5326.97305121517
"273",544657.866420755,382939.054006581,52886.3699335682,144742.075680546
"274",475472.054558911,333275.369899211,-19300.240217411,192236.873008698
"275",455043.807152433,433732.835572091,-225.581491280376,5121.15001464853
"276",484451.969825995,182474.919270979,-17899.4602703382,87170.8587843103
"277",455264.024688629,246560.795566465,71881.4597852556,17217.9561986243
"278",556443.420030589,202259.790949262,83705.1589843657,119828.970002036
