"","msoa","index"
"716","E02004799",716
"717","E02004798",717
"718","E02004800",718
"719","E02004793",719
"720","E02003191",720
"721","E02003185",721
"722","E02003175",722
"723","E02003179",723
"724","E02003181",724
"725","E02001019",725
"726","E02001021",726
"727","E02001027",727
"728","E02001020",728
"729","E02001034",729
"730","E02000999",730
"731","E02001005",731
"732","E02001000",732
"733","E02001015",733
"734","E02000994",734
"735","E02000998",735
"736","E02000991",736
"737","E02000988",737
"738","E02001001",738
"739","E02000995",739
"740","E02001003",740
"741","E02000986",741
"742","E02000984",742
"743","E02000990",743
"744","E02000993",744
"745","E02001002",745
"746","E02000985",746
"747","E02000989",747
"748","E02000996",748
"749","E02001030",749
"750","E02001007",750
"751","E02001036",751
"752","E02001012",752
"753","E02001010",753
"754","E02001017",754
"755","E02001008",755
"756","E02001006",756
"757","E02001004",757
"758","E02001009",758
"759","E02001013",759
"760","E02001011",760
"761","E02001016",761
"762","E02001159",762
"763","E02000997",763
"764","E02001014",764
"765","E02001018",765
"766","E02000992",766
"767","E02000987",767
"768","E02005202",768
"769","E02001023",769
"770","E02001028",770
"771","E02001024",771
"772","E02001029",772
"773","E02001026",773
"774","E02001150",774
"775","E02001032",775
"776","E02001022",776
"777","E02001025",777
"778","E02001137",778
"779","E02001035",779
"780","E02001031",780
"781","E02001037",781
"782","E02001038",782
"783","E02001033",783
"784","E02003517",784
"785","E02003514",785
"786","E02003520",786
"787","E02003519",787
"788","E02003516",788
"789","E02003510",789
"790","E02003505",790
"791","E02003504",791
"792","E02003501",792
"793","E02003493",793
"794","E02003500",794
"795","E02003498",795
"796","E02003494",796
"797","E02003523",797
"798","E02003491",798
"799","E02003496",799
"800","E02006619",800
"801","E02003492",801
"802","E02004380",802
"803","E02004384",803
"804","E02004385",804
"805","E02004388",805
"806","E02006631",806
"807","E02006627",807
"808","E02006630",808
"809","E02006602",809
"810","E02006628",810
"811","E02006551",811
"812","E02006629",812
"813","E02006632",813
"814","E02006633",814
"815","E02006549",815
"816","E02006626",816
"817","E02006623",817
"818","E02006546",818
"819","E02006622",819
"820","E02006624",820
"821","E02006621",821
"822","E02006543",822
"823","E02006625",823
"824","E02006552",824
"825","E02006539",825
"826","E02006536",826
"827","E02006540",827
"828","E02006541",828
"829","E02006538",829
"830","E02006548",830
"831","E02006550",831
"832","E02006547",832
"833","E02006545",833
"834","E02006542",834
"835","E02006544",835
"836","E02006554",836
"837","E02006566",837
"838","E02006600",838
"839","E02003521",839
"840","E02003522",840
"841","E02003508",841
"842","E02003515",842
"843","E02003512",843
"844","E02003499",844
"845","E02003507",845
"846","E02004420",846
"847","E02004367",847
"848","E02004366",848
"849","E02004364",849
"850","E02004361",850
"851","E02004359",851
"852","E02004423",852
"853","E02004363",853
"854","E02004365",854
"855","E02004357",855
"856","E02004422",856
"857","E02004362",857
"858","E02006857",858
"859","E02006858",859
"860","E02004358",860
"861","E02004356",861
"862","E02004400",862
"863","E02004391",863
"864","E02004390",864
"865","E02004389",865
"866","E02004382",866
"867","E02004415",867
"868","E02004421",868
"869","E02004419",869
"870","E02004418",870
"871","E02004417",871
"872","E02004416",872
"873","E02003509",873
"874","E02003518",874
"875","E02003506",875
"876","E02003511",876
"877","E02003513",877
"878","E02003497",878
"879","E02003503",879
"880","E02003502",880
"881","E02006537",881
"882","E02006534",882
"883","E02003495",883
"884","E02006601",884
"885","E02006603",885
"886","E02006535",886
"887","E02006598",887
"888","E02006620",888
"889","E02004383",889
"890","E02004381",890
"891","E02004379",891
"892","E02006609",892
"893","E02004409",893
"894","E02004386",894
"895","E02004387",895
"896","E02000144",896
"897","E02000134",897
"898","E02000133",898
"899","E02000148",899
"900","E02000142",900
"901","E02000146",901
"902","E02006782",902
"903","E02000137",903
"904","E02006784",904
"905","E02006783",905
"906","E02000682",906
"907","E02000678",907
"908","E02000651",908
"909","E02000138",909
"910","E02000147",910
"911","E02006789",911
"912","E02000159",912
"913","E02000160",913
"914","E02000153",914
"915","E02000152",915
"916","E02000139",916
"917","E02000132",917
"918","E02006787",918
"919","E02000130",919
"920","E02000686",920
"921","E02000150",921
"922","E02000156",922
"923","E02000218",923
"924","E02000141",924
"925","E02000151",925
"926","E02000154",926
"927","E02000157",927
"928","E02000149",928
"929","E02000140",929
"930","E02000136",930
"931","E02000145",931
"932","E02000155",932
"933","E02000158",933
"934","E02000163",934
"935","E02000161",935
"936","E02000162",936
"937","E02005094",937
"938","E02005089",938
"939","E02000128",939
"940","E02000127",940
"941","E02000344",941
"942","E02005088",942
"943","E02005087",943
"944","E02005038",944
"945","E02005091",945
"946","E02006846",946
"947","E02006887",947
"948","E02003043",948
"949","E02006889",949
"950","E02003068",950
"951","E02003036",951
"952","E02003034",952
"953","E02003050",953
"954","E02003047",954
"955","E02003015",955
"956","E02003021",956
"957","E02003013",957
"958","E02003017",958
"959","E02003012",959
"960","E02003094",960
"961","E02003020",961
"962","E02003014",962
"963","E02003019",963
"964","E02003018",964
"965","E02003098",965
"966","E02003101",966
"967","E02003091",967
"968","E02003090",968
"969","E02003093",969
"970","E02003092",970
"971","E02003100",971
"972","E02003104",972
"973","E02003107",973
"974","E02003106",974
"975","E02003062",975
"976","E02003064",976
"977","E02003063",977
"978","E02003057",978
"979","E02003059",979
"980","E02003061",980
"981","E02003077",981
"982","E02003058",982
"983","E02003004",983
"984","E02003060",984
"985","E02002985",985
"986","E02003053",986
"987","E02003117",987
"988","E02003038",988
"989","E02003115",989
"990","E02003029",990
"991","E02003116",991
"992","E02003039",992
"993","E02003032",993
"994","E02003114",994
"995","E02003120",995
"996","E02003118",996
"997","E02003119",997
"998","E02003108",998
"999","E02003044",999
"1000","E02003121",1000
"1001","E02003041",1001
"1002","E02003024",1002
"1003","E02003023",1003
"1004","E02003025",1004
"1005","E02003030",1005
"1006","E02003105",1006
"1007","E02003111",1007
"1008","E02003109",1008
"1009","E02003112",1009
"1010","E02003110",1010
"1011","E02003102",1011
"1012","E02003095",1012
"1013","E02003099",1013
"1014","E02003103",1014
"1015","E02003096",1015
"1016","E02003097",1016
"1017","E02002986",1017
"1018","E02002987",1018
"1019","E02003054",1019
"1020","E02003049",1020
"1021","E02003088",1021
"1022","E02003076",1022
"1023","E02003078",1023
"1024","E02003070",1024
"1025","E02003073",1025
"1026","E02003072",1026
"1027","E02003075",1027
"1028","E02003031",1028
"1029","E02003065",1029
"1030","E02003067",1030
"1031","E02003066",1031
"1032","E02003074",1032
"1033","E02003071",1033
"1034","E02003069",1034
"1035","E02003080",1035
"1036","E02006845",1036
"1037","E02003079",1037
"1038","E02003081",1038
"1039","E02003085",1039
"1040","E02003082",1040
"1041","E02003084",1041
"1042","E02003086",1042
"1043","E02003089",1043
"1044","E02003087",1044
"1045","E02006062",1045
"1046","E02003052",1046
"1047","E02003051",1047
"1048","E02003048",1048
"1049","E02003055",1049
"1050","E02003056",1050
"1051","E02003046",1051
"1052","E02006888",1052
"1053","E02006890",1053
"1054","E02003040",1054
"1055","E02003033",1055
"1056","E02003028",1056
"1057","E02003022",1057
"1058","E02003027",1058
"1059","E02003016",1059
"1060","E02003045",1060
"1061","E02003037",1061
"1062","E02003026",1062
"1063","N99999999",1063
"1064","E02003994",1064
"1065","E02003992",1065
"1066","E02003996",1066
"1067","E02003990",1067
"1068","E02003997",1068
"1069","E02003998",1069
"1070","E02003999",1070
"1071","E02004009",1071
"1072","E02004008",1072
"1073","E02004013",1073
"1074","E02004010",1074
"1075","E02004011",1075
"1076","E02004012",1076
"1077","E02004014",1077
"1078","E02003976",1078
"1079","E02003966",1079
"1080","E02003971",1080
"1081","E02003970",1081
"1082","E02003969",1082
"1083","E02003972",1083
"1084","E02003975",1084
"1085","E02003973",1085
"1086","E02003974",1086
"1087","E02004000",1087
"1088","E02004003",1088
"1089","E02003968",1089
"1090","E02003967",1090
"1091","E02004007",1091
"1092","E02004006",1092
"1093","E02003995",1093
"1094","E02003991",1094
"1095","E02004005",1095
"1096","E02004001",1096
"1097","E02004002",1097
"1098","E02004004",1098
"1099","E02003989",1099
"1100","E02003993",1100
"1101","E02003965",1101
"1102","E02003987",1102
"1103","E02003988",1103
"1104","S02001444",1104
"1105","E02005727",1105
"1106","E02005728",1106
"1107","E02003728",1107
"1108","E02003724",1108
"1109","E02003242",1109
"1110","E02003725",1110
"1111","E02006873",1111
"1112","E02003726",1112
"1113","E02003730",1113
"1114","E02003727",1114
"1115","E02003729",1115
"1116","E02003731",1116
"1117","E02003785",1117
"1118","E02003786",1118
"1119","E02003781",1119
"1120","E02003790",1120
"1121","E02003791",1121
"1122","E02004591",1122
"1123","E02004592",1123
"1124","E02003733",1124
"1125","E02003740",1125
"1126","E02004593",1126
"1127","E02004594",1127
"1128","E02004595",1128
"1129","E02003723",1129
"1130","E02003789",1130
"1131","E02003788",1131
"1132","E02003787",1132
"1133","E02003777",1133
"1134","E02003784",1134
"1135","E02006874",1135
"1136","E02003779",1136
"1137","E02003783",1137
"1138","E02003775",1138
"1139","E02003776",1139
"1140","E02003780",1140
"1141","E02003739",1141
"1142","E02003778",1142
"1143","E02003736",1143
"1144","E02003720",1144
"1145","E02003770",1145
"1146","E02003721",1146
"1147","E02003722",1147
"1148","E02003719",1148
"1149","E02003734",1149
"1150","E02003732",1150
"1151","E02005568",1151
"1152","E02003735",1152
"1153","E02003752",1153
"1154","E02003737",1154
"1155","E02003738",1155
"1156","E02006240",1156
"1157","E02006243",1157
"1158","E02006826",1158
"1159","E02006825",1159
"1160","E02006242",1160
"1161","E02006282",1161
"1162","E02006283",1162
"1163","E02006286",1163
"1164","E02006284",1164
"1165","E02004446",1165
"1166","E02006285",1166
"1167","W02000410",1167
"1168","W02000398",1168
"1169","W02000408",1169
"1170","W02000281",1170
"1171","W02000423",1171
"1172","W02000412",1172
"1173","W02000242",1173
"1174","W02000386",1174
"1175","W02000395",1175
"1176","W02000402",1176
"1177","W02000422",1177
"1178","W02000404",1178
"1179","W02000407",1179
"1180","W02000397",1180
"1181","W02000399",1181
"1182","W02000240",1182
"1183","W02000406",1183
"1184","W02000400",1184
"1185","W02000403",1185
"1186","W02000239",1186
"1187","W02000392",1187
"1188","W02000401",1188
"1189","W02000251",1189
"1190","W02000367",1190
"1191","W02000368",1191
"1192","W02000371",1192
"1193","W02000369",1193
"1194","W02000310",1194
"1195","W02000374",1195
"1196","W02000378",1196
"1197","W02000387",1197
"1198","W02000389",1198
"1199","W02000376",1199
"1200","W02000394",1200
"1201","W02000391",1201
"1202","W02000384",1202
"1203","W02000370",1203
"1204","W02000372",1204
"1205","W02000277",1205
"1206","W02000313",1206
"1207","W02000380",1207
"1208","W02000276",1208
"1209","W02000396",1209
"1210","W02000390",1210
"1211","W02000385",1211
"1212","W02000383",1212
"1213","W02000375",1213
"1214","W02000377",1214
"1215","W02000366",1215
"1216","W02000382",1216
"1217","W02000379",1217
"1218","W02000373",1218
"1219","W02000388",1219
"1220","W02000381",1220
"1221","W02000231",1221
"1222","W02000228",1222
"1223","W02000233",1223
"1224","W02000232",1224
"1225","W02000230",1225
"1226","W02000234",1226
"1227","W02000229",1227
"1228","W02000225",1228
"1229","W02000223",1229
"1230","W02000236",1230
"1231","W02000237",1231
"1232","W02000220",1232
"1233","W02000221",1233
"1234","W02000222",1234
"1235","W02000224",1235
"1236","W02000227",1236
"1237","W02000235",1237
"1238","W02000217",1238
"1239","W02000219",1239
"1240","W02000218",1240
"1241","W02000226",1241
"1242","W02000280",1242
"1243","W02000274",1243
"1244","W02000272",1244
"1245","W02000273",1245
"1246","W02000266",1246
"1247","W02000279",1247
"1248","W02000278",1248
"1249","W02000268",1249
"1250","W02000263",1250
"1251","W02000270",1251
"1252","W02000302",1252
"1253","W02000271",1253
"1254","W02000267",1254
"1255","W02000275",1255
"1256","W02000269",1256
"1257","W02000265",1257
"1258","W02000262",1258
"1259","W02000261",1259
"1260","W02000258",1260
"1261","W02000264",1261
"1262","W02000260",1262
"1263","W02000255",1263
"1264","W02000253",1264
"1265","W02000252",1265
"1266","W02000254",1266
"1267","W02000285",1267
"1268","W02000256",1268
"1269","W02000416",1269
"1270","W02000201",1270
"1271","W02000257",1271
"1272","W02000259",1272
"1273","W02000289",1273
"1274","W02000288",1274
"1275","W02000297",1275
"1276","W02000287",1276
"1277","W02000286",1277
"1278","W02000284",1278
"1279","W02000415",1279
"1280","W02000414",1280
"1281","W02000290",1281
"1282","W02000291",1282
"1283","W02000393",1283
"1284","W02000405",1284
"1285","W02000409",1285
"1286","W02000411",1286
"1287","W02000241",1287
"1288","W02000244",1288
"1289","W02000245",1289
"1290","W02000243",1290
"1291","W02000246",1291
"1292","W02000249",1292
"1293","W02000248",1293
"1294","W02000250",1294
"1295","W02000247",1295
"1296","W02000238",1296
"1297","W02000282",1297
"1298","W02000312",1298
"1299","W02000311",1299
"1300","W02000308",1300
"1301","W02000307",1301
"1302","W02000309",1302
"1303","W02000301",1303
"1304","W02000292",1304
"1305","W02000293",1305
"1306","E02003803",1306
"1307","E02003802",1307
"1308","E02003797",1308
"1309","E02003796",1309
"1310","E02003801",1310
"1311","E02003799",1311
"1312","E02003809",1312
"1313","E02003795",1313
"1314","E02003805",1314
"1315","E02003807",1315
"1316","E02003804",1316
"1317","E02003798",1317
"1318","W02000066",1318
"1319","E02003847",1319
"1320","E02003794",1320
"1321","E02003851",1321
"1322","E02003849",1322
"1323","E02001482",1323
"1324","E02001490",1324
"1325","E02001474",1325
"1326","E02001473",1326
"1327","E02001478",1327
"1328","E02001480",1328
"1329","E02003806",1329
"1330","E02003810",1330
