"X","Y","",""
610477.598772659,327530.567931611,-24367.5454298162,553968.46402611
476267.002208154,216146.787220731,-143814.716675408,38896.4011468894
517694.615635747,422175.709568568,-61894.1773450493,35078.3325999169
407889.148954218,312606.04141181,34714.8231931791,-32038.7323401758
431864.779268462,189149.842932111,95924.2055200927,-2643.02345185238
508962.836586426,310796.805853606,24423.8290231849,-6848.52430431641
531541.177862849,151325.665866835,-11544.2886703797,103869.91610841
511748.875281189,220843.572893989,73023.7955337989,118655.522325468
512310.412744245,199877.654953111,52879.9008916453,67563.9001181802
864439.203998153,168598.50191852,80648.0681071303,177098.521493864
459211.660783244,304451.11895652,6539.55151427964,-41109.4404109764
540343.6261606,261656.932367524,35739.582756106,-18839.5271730578
457517.454883666,332074.239360657,-45114.926870566,-105876.38349985
358890.238824048,233506.921447674,-161457.725176884,577485.886573735
499574.452385179,224714.669506408,-14642.5873720641,245144.719420885
491451.680585615,379897.774650949,13989.1260391502,-72860.3682772351
476899.119737399,315014.52634646,22185.8578549946,-100434.407792904
407211.95640821,317876.920328242,4666.36883702091,-24387.1496955151
468473.623618691,276680.137509886,41008.0682741095,-77768.1825886445
416275.434126279,303697.506808009,-51007.3314514918,-5501.86546001834
434512.42021357,313631.187400249,59908.2655316159,-80655.9248254665
534650.210528307,271652.467918034,33859.6460190858,331041.304807802
655869.762512828,262762.318239641,-8090.97143660692,222605.259990193
486113.261381933,377490.171047236,18755.4562504443,85083.1252529826
524525.001212152,246729.311025252,-51856.4878416018,4644.73278222315
546537.6738306,254526.967501348,96112.806063752,227168.885317127
447204.247902509,310305.860643411,33360.1061219917,-69402.2325742987
389801.659888668,300069.920550418,19505.3902206793,-90086.6423836159
483213.907740686,370238.257197556,-63976.0520027172,-121654.272389944
455674.724562535,303176.254595433,9539.82834274652,-95183.0565859944
389493.046269874,329109.713868751,-39169.1290408519,-77268.8254753323
315725.505776335,301657.467052051,-18767.7023304073,62402.6541538619
416125.362534323,328637.572483799,-87385.7925566575,-89893.0675935334
392916.989258355,288967.240532518,-64550.4606161124,31495.4072509202
593567.069032062,368804.837446272,113244.949343145,-18025.7207014376
439521.925873785,264253.628146724,85704.2342801272,-131510.313504084
526417.439253589,324036.122487258,19403.1479416282,56373.7458011407
461108.934706791,412730.103655419,-121993.275923499,-48109.8902364966
509723.012557941,365460.352751437,17606.7817990848,-80092.4076228311
431138.412750824,358597.501161343,-13000.9458939759,46156.0744950303
392205.161522263,313969.564331792,44786.8515986556,-144069.730012147
419344.322298724,434245.332959601,81188.4419374216,-33582.20813867
402148.297887711,333112.541955286,11815.8434631221,-84948.5056743258
479780.218582671,387858.477130259,15529.9759149288,-62570.639121603
399107.819107303,392202.276454011,114784.676982429,6192.26976382712
441526.776129417,306003.621410768,-66493.7713793743,-81162.7005886686
461460.322868984,375341.289035122,15202.0617104849,-58324.5035384705
458984.353463195,344299.39085379,-23263.2700235279,-44751.4951612089
419173.556545952,283918.985414839,-36846.8307021696,71527.581497777
445067.442632478,337362.414321345,-25224.4005122576,-110390.710453332
471466.03647842,298420.165322185,77124.2112824066,-102401.409433413
424229.166068679,354677.05808676,-59234.3711142262,-95235.6545125167
